Curve_UACJ solar_20231019121210
Time,Meteo Station5(08224)/Ambient Humidity(%RH),Meteo Station5(08224)/Atmospheric Pressure(hPa),Meteo Station5(08224)/Wind Angle(°),Meteo Station5(08224)/Wind Speed(m/s),Meteo Station5(08224)/Ambient Temperature(℃),Meteo Station5(08224)/Temp. (PV module)(℃),Meteo Station5(08224)/Slope Transient Irradiation(W/㎡),UACJ solar(46372)/Inverter AC Power(kW)
2023-10-16 00:00:00,88,997.6,341,0,26.4,25.3,--,0
2023-10-16 00:05:00,89,997.6,207,0,26.2,25.2,--,0
2023-10-16 00:10:00,89.4,997.6,351,0,26.2,25.2,--,0
2023-10-16 00:15:00,89.4,997.6,260,0,26.1,25.2,--,0
2023-10-16 00:20:00,89.4,997.5,355,0,26.1,25.2,--,0
2023-10-16 00:25:00,89.5,997.5,346,0,26.2,25.1,--,0
2023-10-16 00:30:00,89.7,997.3,223,0,26.2,25.3,--,0
2023-10-16 00:35:00,89.7,997.3,205,0,26.2,25.2,--,0
2023-10-16 00:40:00,89.9,997.3,352,0,26.1,25.3,--,0
2023-10-16 00:45:00,91.6,997.3,352,0,25.8,25,--,0
2023-10-16 00:50:00,90.8,997.2,341,0.2,25.9,25.1,--,0
2023-10-16 00:55:00,90.3,997.1,337,0,26,25.5,--,0
2023-10-16 01:00:00,90.4,997,347,0.2,26.1,25.5,--,0
2023-10-16 01:05:00,90.1,996.9,344,0,26.1,25.5,--,0
2023-10-16 01:10:00,90.2,997,195,0,26.2,25.4,--,0
2023-10-16 01:15:00,90.1,996.8,193,0,26.2,25.3,--,0
2023-10-16 01:20:00,90.4,996.6,259,0,26.3,25.3,--,0
2023-10-16 01:25:00,90.1,996.8,353,0,26.3,25.2,--,0
2023-10-16 01:30:00,90.3,996.7,280,0,26.4,25.1,--,0
2023-10-16 01:35:00,89.9,996.6,352,0,26.4,25.3,--,0
2023-10-16 01:40:00,89.8,996.6,352,0,26.4,25.2,--,0
2023-10-16 01:45:00,90.3,996.6,344,0,26.1,25.1,--,0
2023-10-16 01:50:00,90.7,996.5,347,0,26.1,25,--,0
2023-10-16 01:55:00,90.7,996.6,330,0,26.1,25,--,0
2023-10-16 02:00:00,90.6,996.6,351,0,26.2,25.1,--,0
2023-10-16 02:05:00,90.4,996.6,332,0,26.3,25,--,0
2023-10-16 02:10:00,90.1,996.6,352,0,26.4,25.1,--,0
