Curve_UACJ solar_20231019120500
Time,UACJ solar(46372)/Inverter AC Power(kW),Meteo Station5(08224)/Ambient Humidity(%RH),Meteo Station5(08224)/Atmospheric Pressure(hPa),Meteo Station5(08224)/Wind Angle(°),Meteo Station5(08224)/Wind Speed(m/s),Meteo Station5(08224)/Temp. (PV module)(℃),Meteo Station5(08224)/Ambient Temperature(℃),Meteo Station5(08224)/Slope Transient Irradiation(W/㎡)
2023-10-18 00:00:00,0,94.7,999.7,303,0,25.2,26.6,--
2023-10-18 00:05:00,0,94.7,999.7,298,0,25.1,26.6,--
2023-10-18 00:10:00,0,94.7,999.6,228,0.5,25.1,26.6,--
2023-10-18 00:15:00,0,94.6,999.6,294,0,25.1,26.6,--
2023-10-18 00:20:00,0,94.6,999.5,300,0,25,26.6,--
2023-10-18 00:25:00,0,94.5,999.5,291,0,25.1,26.6,--
2023-10-18 00:30:00,0,94.3,999.4,349,0,25.2,26.6,--
2023-10-18 00:35:00,0,94.9,999.4,217,0,25.3,26.6,--
2023-10-18 00:40:00,0,95,999.4,344,0,25.2,26.4,--
2023-10-18 00:45:00,0,95.2,999.4,321,0,25.1,26.4,--
2023-10-18 00:50:00,0,95.3,999.4,319,0,25.2,26.5,--
2023-10-18 00:55:00,0,95.3,999.3,321,0,25.3,26.5,--
2023-10-18 01:00:00,0,95.1,999.1,343,0,25.4,26.6,--
2023-10-18 01:05:00,0,94.8,999.2,346,0,25.3,26.6,--
2023-10-18 01:10:00,0,94.9,999.1,256,0,25.3,26.6,--
2023-10-18 01:15:00,0,95.1,999.1,206,0,25.4,26.6,--
2023-10-18 01:20:00,0,95.1,999.1,354,0,25.3,26.7,--
2023-10-18 01:25:00,0,94.9,999,306,0,25.3,26.7,--
2023-10-18 01:30:00,0,94.9,999,258,0,25.5,26.7,--
2023-10-18 01:35:00,0,94.9,998.8,276,0,25.3,26.7,--
2023-10-18 01:40:00,0,95.1,998.8,220,0,25.4,26.7,--
2023-10-18 01:45:00,0,95,998.6,212,0,25.5,26.6,--
2023-10-18 01:50:00,0,95.5,998.5,218,0,25.5,26.7,--
2023-10-18 01:55:00,0,95.3,998.5,222,0,25.4,26.7,--
2023-10-18 02:00:00,0,95.3,998.4,301,0,25.4,26.8,--
2023-10-18 02:05:00,0,94.9,998.4,344,0,25.5,26.8,--
2023-10-18 02:10:00,0,94.2,998.2,234,0,25.5,26.9,--
